link,image,datetime,time,day,title,description,level,category,category2
https://io.google/2022/program/8e80903f-955f-4a5b-9118-b0ce4acdb0e6/,https://io.google/2022/data/phase3/8e80903f-955f-4a5b-9118-b0ce4acdb0e6.webp,"Day 1, 10:00AM PDT",10:00AM PDT,Day 1,Google I/O keynote,Tune in to find out how we're furthering our mission to organize the world's information and make it universally acce...,Keynote,,
https://io.google/2022/program/0209f281-0b0e-4339-9e7a-a501e36f03c7/,https://io.google/2022/data/phase3/0209f281-0b0e-4339-9e7a-a501e36f03c7.webp,"Day 1, following Google Keynote",Following Google Keynote,Day 1,Developer keynote,Learn about the latest updates to our developer products and platforms from Google Developers.,Keynote,,
https://io.google/2022/program/4e81975b-46a2-4966-98d8-19fb4fb66f78/,https://io.google/2022/data/phase3/4e81975b-46a2-4966-98d8-19fb4fb66f78.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What's new in Android,"Hear the latest news on everything happening in the world of Android development: Android 13, Jetpack, tooling, perfo...",Beginner,Android,Keynote
https://io.google/2022/program/3af70a34-1be2-4040-b873-7549ba4e7b48/,https://io.google/2022/data/phase3/3af70a34-1be2-4040-b873-7549ba4e7b48.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,The cloud built for developers,Learn how Google Cloud and Workspace teams are building cloud services to help developers and technologists create tr...,Intermediate,Cloud,Keynote
https://io.google/2022/program/4b4d658d-9682-4573-9ebe-0a48e7ff75df/,https://io.google/2022/data/phase3/4b4d658d-9682-4573-9ebe-0a48e7ff75df.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What's new in Firebase,"Learn how to build and run apps users love with Firebase, a platform designed to help throughout your business’ journey.",Beginner,Firebase,Keynote
https://io.google/2022/program/a2114fc4-10f7-4071-a065-69dc727aeaa5/,https://io.google/2022/data/phase3/a2114fc4-10f7-4071-a065-69dc727aeaa5.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What's new in Flutter,Learn the latest from Flutter including how to build beautiful native apps for multiple platforms from a single codebase.,Beginner,Flutter,Keynote
https://io.google/2022/program/a38c0018-9259-4444-b0bb-b77e1f7672c2/,https://io.google/2022/data/phase3/a38c0018-9259-4444-b0bb-b77e1f7672c2.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,AI and machine learning for developers,"Learn what Google is doing in the AI and machine learning space, from developer APIs to state of the art research.",Beginner,,Keynote
https://io.google/2022/program/3c60e411-5340-4c54-a037-3aceb2825b16/,https://io.google/2022/data/phase3/3c60e411-5340-4c54-a037-3aceb2825b16.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What's new for the web platform,Learn how Google is investing in the web platform.,Beginner,Web,Keynote
https://io.google/2022/program/aee2922d-26df-4f58-8759-8ed41c375506/,https://io.google/2022/data/phase3/aee2922d-26df-4f58-8759-8ed41c375506.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What's new in AR,"Get the latest on our AR developer tools, including updates to ARCore, Google's AR platform for developers.",Beginner,Location/Maps,Keynote
https://io.google/2022/program/e1fe8007-7338-4e33-814b-ecbfcb706c5e/,https://io.google/2022/data/phase3/e1fe8007-7338-4e33-814b-ecbfcb706c5e.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What's new in Google Play,"Discover new features designed to help you optimize acquisition, engagement, and monetization, and build safer apps.",Beginner,Google Play,+ 2 more
https://io.google/2022/program/1238357f-b165-465d-a265-a0fccc5c1e84/,https://io.google/2022/data/phase3/1238357f-b165-465d-a265-a0fccc5c1e84.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What’s new in Chrome OS,Learn how Google is supporting innovation with Chrome OS and enabling developer success with tools and guidance.,Beginner,Chrome OS,Keynote
https://io.google/2022/program/4720435a-34d2-4b1b-9bb3-085485140405/,https://io.google/2022/data/phase3/4720435a-34d2-4b1b-9bb3-085485140405.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What’s new in Google Home,Discover a new era for Google Home — the best platform for smart home developers to build and innovate.,Beginner,Smart Home,Keynote
https://io.google/2022/program/3edf4369-6257-4c17-a42d-6ff2be7b8826/,https://io.google/2022/data/phase3/3edf4369-6257-4c17-a42d-6ff2be7b8826.webp,"Day 1, following Google & Developer keynotes",Following Google & Developer keynotes,Day 1,What’s new in Google Pay,Payments are constantly evolving and so is Google Pay. Join this session to learn more about what's new in Google Pay.,Beginner,Payments,+ 3 more
https://io.google/2022/program/02e77298-9eb9-4ee8-b82d-f3f02e19ac09/,https://io.google/2022/data/phase3/02e77298-9eb9-4ee8-b82d-f3f02e19ac09.webp,"Day 1, following keynotes",Following keynotes,Day 1,What's new for Google Pay Passes,Join this session to learn more about how we are making Passes more useful and accessible.,Beginner,Payments,
