name,pronouns,speakerLink,role,description,talk,image
Aaron Wanjala,he / him,https://io.google/2022/speakers/aaron-wanjala/,"Java Developer Advocate, Google Cloud","Aaron Wanjala is a Spring Boot and Angular developer whose career has taken him from startups to large corporate environments and back again. As a developer, he's had the opportunity to build and ship applications in sectors including financial services and identity management. As an advocate he's excited about making the process easier for developers at orgs of all sizes. Most importantly, Aaron loves telling stories based on his recent experience and sharing his excitement about new technologies with other devs.","Spring Native on GCP - what, when, and why?",https://io.google/2022/speakers/5068e7de-bc55-4975-a101-570ba524ce0b_240.webp
Adam Argyle,he / him,https://io.google/2022/speakers/adam-argyle/,Chrome Developer Relations Engineer,"Adam is a Chrome Developer Relations manager at Google. He is a bright, passionate, punk designer and engineer with an adoration for the web who prefers using his skills for best in class user experiences and empowering those around him. He’s worked at small and large companies, is a member of the CSS Working Group and has built an app for pretty much every screen (or voice). He is capable of over-engineering, but spends lots of brain power not. Loves CSS, loves JS, loves great UX.",State of CSS,https://io.google/2022/speakers/5ed61ce3-21b8-4009-ba6f-381bc2bb9883_240.webp
Adam Chan,he / him,https://io.google/2022/speakers/adam-chan/,Developer Relations Engineer,"Adam is currently a Developer Relations engineer at Google empowering the world build conversational apps on Business Messages. He studied Computer Engineering at the University of Toronto and is a tinkerer by nature and an educator at heart. Prior to becoming a software engineer, Adam was an instructor of software development, inspiring people to build out their ideas to learn new skills. Today, Adam works closely with software engineers all around the globe building the best in class contact center integrations with Business Messages to support the growing demands of contact centers and customer expectations.",Conversational AI for business messaging,https://io.google/2022/speakers/3660e203-7108-4b0b-9ebc-877294b87ab6_240.webp
Adam Koch,he / him,https://io.google/2022/speakers/adam-koch/,Product Manager,Adam is a product manager working on machine learning and TensorFlow. He's focused on making models run more efficiently in production using model optimization techniques such as quantization across both server and edge devices.,Deploy a custom ML model to mobile,https://io.google/2022/speakers/56047c42-478d-41c2-b2ce-c575be88aab0_240.webp
Adarsh Fernando,,https://io.google/2022/speakers/adarsh-fernando/,"Product Manager, Android","Adarsh has worked at Google on Android Developer Tools for the past 6 years in multiple capacities. Currently he's a product manager for Android Studio, focusing on code editing, debugging and inspection, device management, and automated app testing.",What's new in Firebase,https://io.google/2022/speakers/d9a253d1-e97e-4051-9087-ecfc952f463a_240.webp
Adriana Jara,she / her,https://io.google/2022/speakers/adriana-jara/,Senior Developer Relations Engineer,"Adriana is a Developer Relations engineer for Chrome and the web. Currently she is focused on Progressive Web Apps and is a maintainer for Workbox. During her time at Google she has worked as an engineer for various products including Google Search, News, and Shopping.",Making the most of PWA install,https://io.google/2022/speakers/bcd78c8f-8569-4944-b3fd-40fcbfb1ea8c_240.webp
Aileen Dalisay,she / her,https://io.google/2022/speakers/aileen-dalisay/,"Head of Google Assistant Partnerships, Europe, Middle East and Africa","Aileen leads the Product Partnerships team for Google Assistant in Europe, Middle East, and Africa. Her team enables innovations in artificial intelligence & natural language processing that impact over 2 billion users through end to end integrations with third party (3P) partners and Google platform such as Android and Maps. Since joining Google in 2013, she has held various Sales and Business Development leadership roles across Europe and Asia Pacific, pioneering brand strategies that drive digital transformation across a range of industries. Prior to Google, Aileen was Managing Director for Omnicom’s digital specialist Tribal DDB and has built businesses from the ground up across nascent & high growth domains such as mobile, digital marketing, and AI.",Car talk: Assistant and Android for cars,https://io.google/2022/speakers/078aaa61-6d64-41e5-abd7-fe7450ea6fd3_240.webp
Alan Viverette,he / him,https://io.google/2022/speakers/alan-viverette/,Software Engineer,Alan is a technical lead on the Android team at Google responsible for the Android Jetpack libraries.,What's new in Jetpack,https://io.google/2022/speakers/9a8d8d2d-e214-4604-9af4-0cf4a4942ddc_240.webp
Alec Truitt,he / him,https://io.google/2022/speakers/alec-truitt/,Global Product Partnerships,"Alec Truitt currently works on Global Product Partnerships for Google Assistant, helping partners explore new Assistant features and create exciting user experiences. He has 10 years of experience at Google across business development, program management, product strategy, scaled service model design, digital marketing, and enterprise sales. Alec is a Syracuse University alum, advisory board member for Pod and STEMconnector, and advisor for Cornell Tech’s Startup Studio.",How Google Assistant’s architecture powers voice features in your apps,https://io.google/2022/speakers/9c9725a6-369c-4714-8877-daecad745a21_240.webp
Alejandra Stamato,she / her,https://io.google/2022/speakers/alejandra-stamato/,Android Developer Relations Engineer,"Alejandra is an Android Developer Relations engineer at Google. She’s working on improving the developer experience on Jetpack Compose and UI to make developers happier and more productive. She previously worked as an Android Developer for multiple 3P apps, between 2014 and 2021.",State in Jetpack Compose,https://io.google/2022/speakers/b61fc60f-3014-4202-aade-fbaa4f30f043_240.webp
Alex Spinelli,he / him,https://io.google/2022/speakers/alex-spinelli/,"VP Product Management, Core ML","Prior to joining Google, Alex previously led product and engineering for LivePerson, FastCompany’s #1 rank AI company for 2022, where he built technology to enable enterprises to build their own conversational assistants. Before LivePerson, Alex held positions at Amazon, where he managed Alexa OS, the core software systems and AI capabilities that underpin the Alexa platform, and led product and engineering for Amazon’s Search and Discovery experiences. At Thomson Reuters, Alex oversaw product and technology for news and media, including ultra-low latency ML-driven news categorization and synthetic news for financial professionals. Alex started his career as a software engineer in New York City. He has an MBA from Duke University and lives in Seattle with his wife and three children.",AI and machine learning for developers,https://io.google/2022/speakers/e69a460d-3c20-4ca6-9751-e95d97b71c9d_240.webp
Alex Vanyo,he / him,https://io.google/2022/speakers/alex-vanyo/,Developer Relations Engineer,"Alex is a developer relations engineer working on large screens, with interests in Jetpack Compose, state, testing, and Kotlin. Prior to Google, Alex was an Android developer at Livefront working on many aspects of Android applications.",Implementing Android apps for all screen sizes,https://io.google/2022/speakers/922a9d4a-0362-4277-be58-a08b2609bd10_240.webp
Alex Wang,he / him,https://io.google/2022/speakers/alex-wang/,UX Designer,"Alex is a UX designer on the YouTube Ads team, focusing on improving accessibility for users and advertisers. He holds a master's degree in Human-Computer Interaction from Carnegie Mellon University.",Getting started with accessibility and product inclusion,https://io.google/2022/speakers/6d6c2836-30c6-4cd9-b851-72e8d8ab8d6c_240.webp
Ali Cevik,,https://io.google/2022/speakers/ali-cevik/,Product Manager,"Ali is a product manager at Android Machine Learning Platform team at Google. He is on a mission to help bring the power of Artificial Intelligence to every Android app by reducing complexity for on-device machine learning. Ali joined Google in 2018 and led engineering teams in Google Maps and Local Search before joining the Android Machine Learning team. Prior to Google, Ali started a computer vision startup that was funded by Y-Combinator. Ali studied Computer Science at Bilkent University and is an avid amateur rock climber.",What's new in Android machine learning,https://io.google/2022/speakers/bd54a174-9d10-4f44-aaba-4083905b31c3_240.webp
Amit Varia,,https://io.google/2022/speakers/amit-varia/,,,Overview of the Privacy Sandbox on Android,https://io.google/2022/speakers/f9965195-14ab-4794-8163-d26e241a72ba_240.webp
Anastasia Soboleva,she / her,https://io.google/2022/speakers/anastasia-soboleva/,Software Engineer,"Anastasia is a software engineer in the Android Toolkit team in London working on text, layouts, and accessibility in Jetpack Compose.",What's new in Accessibility for developers,https://io.google/2022/speakers/c13116fb-2eb8-4ad4-a62b-82650460d6e9_240.webp
Andi Gutmans,,https://io.google/2022/speakers/andi-gutmans/,"GM & VP Engineering, Databases","Andi is the General Manager and Vice President for Databases at Google. Andi’s focus is on building, managing, and scaling the most innovative database services to deliver the industry’s leading data platform for businesses. Prior to joining Google, Andi was VP Analytics at AWS running services such as Amazon Redshift. Prior to his tenure at AWS, Andi served as CEO and co-founder of Zend Technologies, the commercial backer of open-source PHP.
Andi has over 20 years of experience as an open source contributor and leader. He co-authored open source PHP. He is an emeritus member of the Apache Software Foundation and served on the Eclipse Foundation’s board of directors. He holds a bachelor’s degree in computer science from the Technion, Israel Institute of Technology.",The future of app development with cloud databases,https://io.google/2022/speakers/6a21cb37-757d-4db8-89e2-24487f5b24ef_240.webp
Andr� Labont�,he / him,https://io.google/2022/speakers/andre-labonte/,"Product Manager, Material Design","André is the product lead for Material Design, focused on supporting the design and development of delightful, impactful, and inclusive user experiences!",Designing apps for large screens,https://io.google/2022/speakers/cde26876-2c7f-492a-b7cc-53c02e491a36_240.webp
Andrea Wu,she / her,https://io.google/2022/speakers/andrea-wu/,Developer Relations Engineer,"Andrea is a software engineer who spends the majority of her time coming up with ideas on how to help developers use Firebase, resulting in a lot of content like blogs, videos, and presentations. In her past life, she built pretty sweet features while looking at a computer screen for way too long. As she also greatly cares about diversity and equal opportunity, she teaches and mentors students typically underrepresented in tech through various education equity efforts across Google and for non-profits too.",Personalize apps to create better user experiences and drive revenue,https://io.google/2022/speakers/baa6e562-9809-45ae-ab17-d1d2c594796f_240.webp
Andrew Brogdon,he / him,https://io.google/2022/speakers/andrew-brogdon/,Staff Developer Relations Engineer,"Andrew leads the Developer Relations team for Dart and Flutter. If you've watched videos about the Flutter SDK, read Dart documentation, tried a sample Flutter app, or used DartPad, chances are you've bumped into his work. Prior to joining Google, Andrew studied poetry under Kathy Fagan at the Ohio State University.",What's new in Flutter,https://io.google/2022/speakers/28cdb06d-cd06-4433-ac73-dc9baca21c3a_240.webp
Andrew Fitz Gibbon,he / him,https://io.google/2022/speakers/andrew-fitz-gibbon/,Developer Advocate,"Andrew (aka Fitz) has been in Developer Relations at Google since early 2015, when he worked primarily on Android. After a short stint in Google Cloud he moved to Flutter where, as developer advocate, he focuses on providing resources and inspiration for people wanting to learn how to build their own amazing apps. Before Google, Fitz held such roles as software engineer, systems administrator, summer camp director, computational scientist, and many more. Outside of work, he teaches computer science at a local university, does improvised storytelling, and periodically walks the dog.",Watching a Flutter App Crash,https://io.google/2022/speakers/50d50947-4947-4488-ac6f-ffe3724d6439_240.webp
Andrey Kulikov,he / him,https://io.google/2022/speakers/andrey-kulikov/,Software Engineer,"Andrey is a software engineer who has worked on Jetpack Compose since the beginning of the project. Before joining Google, Andrey worked as an Android applications developer and was a huge fan of everything related to user interfaces.",Lazy layouts in Compose,https://io.google/2022/speakers/0b769487-d994-44af-a941-c945daa21b58_240.webp
Andy Russell,,https://io.google/2022/speakers/andy-russell/,Product Manager,"Andy is a product manager focused on education and families on ChromeOS, where he builds apps and OS features for teachers, students, kids, and parents. Prior to joining Google, he co-founded a small educational app studio, Launchpad Toys, and designed toys and games for Hasbro and Sony PlayStation. He serves on the board of the Children's Creativity Museum in San Francisco and studied Learning Sciences at Stanford and Northwestern.",Developing for 50 million Chromebooks in the classroom,https://io.google/2022/speakers/1d01a67b-6f72-4789-b9e0-0f1048eb5ef4_240.webp
Andy Volk,he / him,https://io.google/2022/speakers/andy-volk/,"Head of Developer Ecosystem, Sub-Saharan Africa","Andy is the Head of Ecosystem for Sub-Saharan Africa at Google, leading a pan-African team focused on helping developers and startups across Africa succeed scalable, high-impact programs.",Africa’s booming developer ecosystem,https://io.google/2022/speakers/99fa12e6-3918-47b4-862e-64ea4d5174a7_240.webp
Anna-Chiara Bellini,she / her,https://io.google/2022/speakers/anna-chiara-bellini/,Product Manager - Android UI Developer Experience,"Anna-Chiara is a product manager leading developer APIs for Android UI. After joining Google three years ago, her main focus has been the development and launch of Jetpack Compose, Android's modern UI toolkit. Before joining Google, she was a software engineer and startup founder, working in robotics, artificial intelligence, and education. Having lived the daily life of software development for many years, Anna-Chiara's mission now is to make Android developers' lives easier. Anna-Chiara received her Master of Science in computer engineering from the University of Bologna, in Italy.",What's new in Jetpack,https://io.google/2022/speakers/3746835e-bc0f-4a90-8f56-4ac7e8e14b33_240.webp
Annie Sullivan,she / her,https://io.google/2022/speakers/annie-sullivan/,Senior Staff Software Engineer,"Annie is a software engineer on the Chrome Web Platform team. She is passionate about building a better performing web for users across the globe. Her tenure at Google spans 17 years, with experience on the toolbar, docs, web search, and chrome teams. Annie currently leads performance metric development on Chrome. She lives in Michigan with her husband Doug and two sons, and enjoys tinkering with laser cutters, metal etching, and new cooking techniques.",The state of responsiveness on the web,https://io.google/2022/speakers/c0525111-a583-414c-aeeb-c09e899f8f82_240.webp
Aparna Sinha,,https://io.google/2022/speakers/aparna-sinha/,"Director of Product Management, Google Cloud","Aparna Sinha is a Director of Product at Google Cloud and the product leader for Serverless and Developer Platforms. She is passionate about accelerating business value through faster, safer software delivery. Aparna helped grow Kubernetes into a widely adopted platform across industries at Google. Prior to Google, Aparna was Director of Product at NetApp, and prior to that a leader in McKinsey and Company’s business transformation office working with CXOs on IT strategy. Aparna holds a PhD in Electrical Engineering from Stanford and has authored several technical publications. She is Chair of the Cloud Native Computing Foundation (CNCF) Governing Board. She lives in Palo Alto, CA with her husband and two kids.",The cloud built for developers,https://io.google/2022/speakers/e5936ef2-57bc-4a15-8c7e-261166491ffc_240.webp
Arun Venkatesan,he / him,https://io.google/2022/speakers/arun-venkatesan/,"Product Manager, TensorFlow Lite","Arun leads on-device machine learning products at Google. Arun is the product manager for TensorFlow Lite, Google's recommended solution to run machine learning on iOS, Android, browsers and other edge devices and surfaces. Arun enjoys interacting with and learning from developers and focuses on the end to end developer journey from authoring to deployment.",Deploy a custom ML model to mobile,https://io.google/2022/speakers/32c2ccaf-c4f0-41fd-be1c-5f701b49641b_240.webp
Ben Hutchinson,he / him,https://io.google/2022/speakers/ben-hutchinson/,Senior Researcher,"Ben is a senior researcher in Google's Centre for Responsible AI and Human-Centered Technology. His interdisciplinary research includes learning from social sciences to inform the ethical development of AI. Prior to joining Google Research, he spent ten years working on a variety of products such as Google Wave, Google Maps, Knowledge Graph, Google Search, Social Impact, and others. He now uses this experience to work closely with product teams as a consultant on responsible practices and the development of fair machine learning models. He has a Ph.D. in Natural Language Processing from the University of Edinburgh.",Building for everyone: The importance of representative data,https://io.google/2022/speakers/09e4ef97-c33d-407c-8557-3172aea90c46_240.webp
Ben Trengrove,he / him,https://io.google/2022/speakers/ben-trengrove/,Developer Relations Engineer,"Ben is a Developer Relations engineer on the Android Developer Relations team at Google. He has been working to help developers make the best apps possible with Jetpack Compose. Previously, Ben lead the mobile development team at Pocket Casts.",Common performance gotchas in Jetpack Compose,https://io.google/2022/speakers/24f5d39c-680e-4092-9e10-4876e82a26e8_240.webp
Ben Weiss,he / him,https://io.google/2022/speakers/ben-weiss/,"Developer Relations Engineer, Android","Ben helps developers to understand everything about app performance. He previously worked on a wide range of features, ranging from UI, Animations & Transitions over Android App Bundles and dynamic delivery, over Jetpack libraries and background work. He also runs the Google Developers Experts program for Android. Ben holds a bachelor's degree in business informatics with a specialization in software engineering from the HTW Berlin.",What's new in app performance,https://io.google/2022/speakers/ae44ec25-1d35-45ac-9ae4-97128f90f909_240.webp
Bilawal Sidhu,,https://io.google/2022/speakers/bilawal-sidhu/,"Product Manager, 3D Experiences","Bilawal is the product manager for 3D experiences on the Google Maps team, where he drives initiatives that bridge the physical and digital world. He has served as the product lead for Photogrammetry – Geo’s 3D mapping platform. Prior to that, he worked on the AR/VR team building features and experiences for ARCore, YouTube VR, and the JUMP/VR180 platform. Prior to Google, Bilawal developed enterprise AR/VR solutions at Deloitte Digital. He graduated from the University of Southern California with a Bachelor of Science in computer science and business administration. Outside of work, Bilawal enjoys making YouTube and TikTok videos.",Location-based AR experiences,https://io.google/2022/speakers/fcfcdccb-f8e4-4eb4-9ab6-40f6983bf489_240.webp
Bill Luan,he / him,https://io.google/2022/speakers/bill-luan/,Senior Program Manager,"Bill is a senior program manager in the Coral team where he is responsible for business partnership, customer engagement, sales support, and developer outreach. Bill has been working at Google for 14 years, and he was the former Developer Relations China Regional Lead for 10 years before joining the Coral team. Bill has been working in the high tech industry in the US for 37 years, including working at Microsoft and Motorola leading software product development for more than a decade before joining Google in 2008. Bill is a frequent speaker at many technical conferences, including three times at Google IO. Having graduated with BSEE and MSEE degrees from Southern Illinois University at Edwardsville, Bill has been inducted in his alma mater’s Hall of Fame for his industry contributions.",Further on the edge with Coral Dev Board Micro,https://io.google/2022/speakers/fc625cbf-14e6-4454-944b-eb3429b40bf2_240.webp
